,educ_promotion,educ_master,educ_bachelor,educ_ausbildung,leadership_skills,soft_skills_communication_team,soft_skills_resilience,soft_skills_innovation_digital,travel,denkweis_analytisch,denkweis_kreativ,pc_basic,pc_specialized,programming_languages,artificial_inelligence,foreign_languages,local_language,project_management,experience
finance,0.03,-0.03,-0.03,-0.10999999999999999,0.04000000000000001,0.040000000000000036,-0.07999999999999996,0.020000000000000004,0.0,0.040000000000000036,-0.04000000000000001,-0.19,-0.01999999999999999,-0.04999999999999999,0.019999999999999997,-0.07999999999999996,-0.14,0.15,0.45000000000000007
mkt,0.0,0.019999999999999997,-0.02,-0.12,0.06,-0.010000000000000009,-0.08999999999999997,0.0,0.030000000000000006,-0.03999999999999998,0.03999999999999998,-0.13,0.030000000000000027,0.04999999999999999,0.0,0.14,0.010000000000000009,0.09,0.33999999999999997
accounting,0.0,-0.039999999999999994,-0.05,-0.22000000000000003,0.13,0.07999999999999996,0.020000000000000018,-0.05,0.0,0.09999999999999998,0.0,-0.18000000000000005,0.020000000000000018,-0.020000000000000018,0.01,0.010000000000000009,0.040000000000000036,0.1,0.32000000000000006
ds,0.0,0.009999999999999995,0.030000000000000002,-0.12999999999999998,0.05,-0.010000000000000009,-0.09000000000000002,0.06,-0.010000000000000009,-0.040000000000000036,0.010000000000000002,-0.08999999999999997,0.08000000000000007,-0.010000000000000009,0.11000000000000001,0.029999999999999916,0.030000000000000027,0.22,0.5
consult,0.03,0.04000000000000001,0.009999999999999995,-0.13999999999999999,-0.010000000000000009,0.07999999999999996,0.02999999999999997,0.05000000000000002,0.07,0.21000000000000008,-0.009999999999999995,0.0,0.04999999999999999,0.03,0.05,0.21000000000000002,0.12,0.13,0.32
sales,0.0,-0.010000000000000002,-0.06,-0.12000000000000005,0.09,-0.010000000000000009,0.04999999999999999,0.020000000000000004,0.07,0.02999999999999997,0.0,0.020000000000000018,0.04,0.020000000000000004,0.0,0.03999999999999998,-0.019999999999999962,0.14,0.24999999999999997
supply,0.01,0.07,-0.03,-0.23,0.03999999999999998,-0.15000000000000002,-0.36,-0.03,0.020000000000000018,-0.10000000000000003,-0.04,-0.14,0.16,0.09000000000000001,0.03,0.050000000000000044,0.10999999999999999,0.26,0.38
pr,0.0,0.05,-0.019999999999999997,-0.020000000000000018,-0.03,0.11000000000000004,-0.09000000000000002,-0.010000000000000009,-0.05,0.040000000000000036,-0.009999999999999981,-0.12000000000000002,0.06999999999999999,0.07,0.01,0.15000000000000002,0.13999999999999996,0.12,0.5
hr,0.0,0.06,0.04,-0.09999999999999998,0.03,0.010000000000000009,-0.09999999999999998,-0.019999999999999997,-0.21000000000000002,-0.09999999999999998,0.11,-0.27,0.06,0.02,0.0,-0.15999999999999998,-0.09000000000000002,0.06,0.31999999999999995
projmag,0.0,0.05,-0.009999999999999998,0.010000000000000009,0.06,-0.14,-0.12999999999999995,-0.06,-0.01999999999999999,-0.15000000000000008,-0.03,-0.13,0.010000000000000009,0.04000000000000001,-0.01,-0.10999999999999999,-0.17000000000000004,0.15,0.28
field_avg,0.007,0.022000000000000013,-0.013999999999999999,-0.11799999999999994,0.04600000000000004,-1.1102230246251565e-16,-0.08400000000000002,-0.001999999999999988,-0.009999999999999981,-0.0010000000000000009,0.0030000000000000027,-0.12300000000000005,0.05000000000000002,0.023999999999999994,0.022,0.028000000000000025,0.0029999999999998916,0.142,0.36600000000000005
