,educ_promotion,educ_master,educ_bachelor,educ_ausbildung,leadership_skills,soft_skills_communication_team,soft_skills_resilience,soft_skills_innovation_digital,travel,denkweis_analytisch,denkweis_kreativ,pc_basic,pc_specialized,programming_languages,artificial_inelligence,foreign_languages,local_language,project_management,experience
finance,0.0,0.08,0.05,0.45,0.16,0.56,0.34,0.05,0.17,0.5,0.03,0.45,0.2,0.12,0.02,0.54,0.57,0.04,0.17
mkt,0.0,0.01,0.04,0.4,0.18,0.54,0.36,0.14,0.05,0.5,0.25,0.35,0.28,0.09,0.01,0.4,0.48,0.04,0.26
accounting,0.01,0.04,0.05,0.53,0.13,0.5,0.39,0.07,0.08,0.58,0.02,0.66,0.31,0.03,0.0,0.44,0.36,0.01,0.21
ds,0.01,0.08,0.07,0.3,0.08,0.46,0.32,0.11,0.17,0.53,0.07,0.39,0.5,0.45,0.19,0.58,0.59,0.1,0.14
consult,0.01,0.08,0.07,0.33,0.13,0.55,0.26,0.12,0.19,0.37,0.07,0.24,0.2,0.13,0.03,0.48,0.53,0.09,0.19
sales,0.0,0.04,0.06,0.5,0.16,0.63,0.27,0.06,0.15,0.24,0.05,0.26,0.06,0.04,0.01,0.42,0.49,0.02,0.18
supply,0.0,0.02,0.03,0.4,0.32,0.68,0.48,0.09,0.06,0.49,0.06,0.54,0.14,0.11,0.03,0.55,0.58,0.05,0.22
pr,0.0,0.07,0.07,0.18,0.23,0.54,0.38,0.11,0.15,0.29,0.28,0.26,0.09,0.06,0.01,0.43,0.45,0.06,0.22
hr,0.0,0.02,0.02,0.53,0.25,0.62,0.27,0.12,0.15,0.37,0.07,0.35,0.05,0.03,0.01,0.49,0.53,0.04,0.16
projmag,0.0,0.03,0.04,0.34,0.2,0.67,0.44,0.14,0.14,0.55,0.1,0.45,0.14,0.07,0.01,0.58,0.53,0.12,0.21
