,educ_promotion,educ_master,educ_bachelor,educ_ausbildung,leadership_skills,soft_skills_communication_team,soft_skills_resilience,soft_skills_innovation_digital,travel,denkweis_analytisch,denkweis_kreativ,pc_basic,pc_specialized,programming_languages,artificial_inelligence,foreign_languages,local_language,project_management,experience
finance,0.03,0.11,0.08,0.32,0.17,0.66,0.32,0.08,0.16,0.56,0.04,0.31,0.19,0.09,0.04,0.55,0.49,0.15,0.51
mkt,0.0,0.03,0.02,0.28,0.22,0.5,0.29,0.12,0.07,0.44,0.24,0.23,0.28,0.11,0.01,0.51,0.49,0.13,0.52
accounting,0.02,0.02,0.02,0.32,0.25,0.64,0.36,0.04,0.08,0.65,0.03,0.47,0.26,0.04,0.01,0.55,0.46,0.11,0.44
ds,0.02,0.08,0.07,0.23,0.13,0.48,0.31,0.12,0.19,0.59,0.04,0.32,0.62,0.55,0.3,0.57,0.58,0.23,0.52
consult,0.06,0.14,0.08,0.2,0.15,0.65,0.29,0.16,0.25,0.54,0.06,0.24,0.23,0.14,0.06,0.64,0.6,0.19,0.46
sales,0.0,0.03,0.01,0.45,0.22,0.55,0.29,0.09,0.2,0.3,0.07,0.25,0.08,0.02,0.0,0.41,0.38,0.14,0.37
supply,0.02,0.07,0.01,0.2,0.28,0.53,0.18,0.13,0.15,0.44,0.0,0.31,0.28,0.08,0.03,0.76,0.7,0.2,0.5
pr,0.0,0.05,0.01,0.24,0.18,0.49,0.28,0.13,0.07,0.36,0.2,0.21,0.17,0.07,0.01,0.64,0.64,0.14,0.56
hr,0.0,0.04,0.03,0.3,0.32,0.55,0.23,0.1,0.07,0.26,0.14,0.12,0.05,0.0,0.0,0.41,0.41,0.04,0.42
projmag,0.01,0.07,0.02,0.3,0.26,0.59,0.34,0.07,0.17,0.42,0.06,0.31,0.11,0.08,0.01,0.45,0.4,0.28,0.49
